,FIPS,State,"County, State",2019 Food Insecurity Rate,# of Food Insecure Persons in 2019,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2019 Child food insecurity rate,# of Food Insecure Children in 2019,% food insecure children in HH w/ HH incomes below 185 FPL in 2019,% food insecure children in HH w/ HH incomes above 185 FPL in 2019,2019 Cost Per Meal,2019 Weighted Annual Food Budget Shortfall
1401,28001,MS,"Adams County, Mississippi",0.213,6670,1.3,SNAP,1.85,Other Nutrition Program,0.662,0.02,0.318,0.316,2050,0.66,0.35,3.03,3454000
1402,28003,MS,"Alcorn County, Mississippi",0.183,6770,1.3,SNAP,1.85,Other Nutrition Program,0.542,0.263,0.195,0.174,1500,1.0,0.0,2.76,3199000
1403,28005,MS,"Amite County, Mississippi",0.206,2550,1.3,SNAP,1.85,Other Nutrition Program,0.622,0.128,0.251,0.276,710,0.7,0.3,3.18,1388000
1404,28007,MS,"Attala County, Mississippi",0.212,3910,1.3,SNAP,1.85,Other Nutrition Program,0.609,0.168,0.223,0.282,1320,0.76,0.24,3.13,2092000
1405,28009,MS,"Benton County, Mississippi",0.176,1450,1.3,SNAP,1.85,Other Nutrition Program,0.548,0.18,0.272,0.187,330,1.0,0.0,2.96,734000
1406,28011,MS,"Bolivar County, Mississippi",0.234,7440,1.3,SNAP,1.85,Other Nutrition Program,0.756,0.244,0.0,0.319,2520,0.63,0.37,3.07,3902000
1407,28013,MS,"Calhoun County, Mississippi",0.193,2790,1.3,SNAP,1.85,Other Nutrition Program,0.607,0.149,0.245,0.234,810,0.81,0.2,3.1,1477000
1408,28015,MS,"Carroll County, Mississippi",0.174,1750,1.3,SNAP,1.85,Other Nutrition Program,0.513,0.175,0.312,0.194,380,0.76,0.24,3.04,910000
1409,28017,MS,"Chickasaw County, Mississippi",0.179,3080,1.3,SNAP,1.85,Other Nutrition Program,0.626,0.242,0.131,0.224,960,0.96,0.04,3.01,1585000
1410,28019,MS,"Choctaw County, Mississippi",0.194,1600,1.3,SNAP,1.85,Other Nutrition Program,0.557,0.218,0.224,0.25,450,0.73,0.27,3.22,879000
1411,28021,MS,"Claiborne County, Mississippi",0.237,2150,1.3,SNAP,1.85,Other Nutrition Program,0.755,0.245,0.0,0.422,830,0.54,0.46,3.17,1164000
1412,28023,MS,"Clarke County, Mississippi",0.185,2910,1.3,SNAP,1.85,Other Nutrition Program,0.498,0.11,0.392,0.234,830,0.61,0.39,3.01,1498000
1413,28025,MS,"Clay County, Mississippi",0.174,3420,1.3,SNAP,1.85,Other Nutrition Program,0.691,0.039,0.27,0.259,1170,0.67,0.33,3.17,1854000
1414,28027,MS,"Coahoma County, Mississippi",0.223,5190,1.3,SNAP,1.85,Other Nutrition Program,0.815,0.185,0.0,0.324,2060,0.59,0.41,3.08,2737000
1415,28029,MS,"Copiah County, Mississippi",0.178,5060,1.3,SNAP,1.85,Other Nutrition Program,0.581,0.076,0.343,0.257,1700,0.63,0.37,2.9,2507000
1416,28031,MS,"Covington County, Mississippi",0.186,3520,1.3,SNAP,1.85,Other Nutrition Program,0.587,0.166,0.246,0.246,1160,0.73,0.27,3.09,1859000
1417,28033,MS,"DeSoto County, Mississippi",0.125,22420,1.3,SNAP,1.85,Other Nutrition Program,0.343,0.149,0.507,0.119,5520,0.7,0.3,3.03,11627000
1418,28035,MS,"Forrest County, Mississippi",0.213,16050,1.3,SNAP,1.85,Other Nutrition Program,0.603,0.077,0.32,0.235,4100,0.69,0.31,3.22,8845000
